province,date_report,cases,cumulative_cases
Alberta,24/01/2020,0,0
Alberta,25/01/2020,0,0
Alberta,26/01/2020,0,0
Alberta,27/01/2020,0,0
Alberta,28/01/2020,0,0
Alberta,29/01/2020,0,0
Alberta,30/01/2020,0,0
Alberta,31/01/2020,0,0
Alberta,01/02/2020,0,0
Alberta,02/02/2020,0,0
Alberta,03/02/2020,0,0
Alberta,04/02/2020,0,0
Alberta,05/02/2020,0,0
Alberta,06/02/2020,0,0
Alberta,07/02/2020,0,0
Alberta,08/02/2020,0,0
Alberta,09/02/2020,0,0
Alberta,10/02/2020,0,0
Alberta,11/02/2020,0,0
Alberta,12/02/2020,0,0
Alberta,13/02/2020,0,0
Alberta,14/02/2020,0,0
Alberta,15/02/2020,0,0
Alberta,16/02/2020,0,0
Alberta,17/02/2020,0,0
Alberta,18/02/2020,0,0
Alberta,19/02/2020,0,0
Alberta,20/02/2020,0,0
Alberta,21/02/2020,0,0
Alberta,22/02/2020,0,0
Alberta,23/02/2020,0,0
Alberta,24/02/2020,0,0
Alberta,25/02/2020,0,0
Alberta,26/02/2020,0,0
Alberta,27/02/2020,0,0
Alberta,28/02/2020,0,0
Alberta,29/02/2020,0,0
Alberta,01/03/2020,0,0
Alberta,02/03/2020,0,0
Alberta,03/03/2020,0,0
Alberta,04/03/2020,0,0
Alberta,05/03/2020,1,1
Alberta,06/03/2020,0,1
Alberta,07/03/2020,1,2
Alberta,08/03/2020,1,3
Alberta,09/03/2020,4,7
Alberta,10/03/2020,9,16
Alberta,11/03/2020,7,23
Alberta,12/03/2020,3,26
Alberta,13/03/2020,8,34
Alberta,14/03/2020,22,56
Alberta,15/03/2020,11,67
Alberta,16/03/2020,24,91
Alberta,17/03/2020,11,102
Alberta,18/03/2020,29,131
Alberta,19/03/2020,32,163
Alberta,20/03/2020,46,209
Alberta,21/03/2020,35,244
Alberta,22/03/2020,47,291
Alberta,23/03/2020,53,344
Alberta,24/03/2020,68,412
Alberta,25/03/2020,63,475
Alberta,26/03/2020,53,528
Alberta,27/03/2020,85,613
Alberta,28/03/2020,54,667
Alberta,29/03/2020,34,701
Alberta,30/03/2020,40,741
Alberta,31/03/2020,132,873
Alberta,01/04/2020,108,981
Alberta,02/04/2020,122,1103
Alberta,03/04/2020,70,1173
Alberta,04/04/2020,60,1233
Alberta,05/04/2020,42,1275
Alberta,06/04/2020,34,1309
Alberta,07/04/2020,53,1362
Alberta,08/04/2020,33,1395
Alberta,09/04/2020,45,1440
Alberta,10/04/2020,49,1489
Alberta,11/04/2020,65,1554
Alberta,12/04/2020,68,1622
Alberta,13/04/2020,68,1690
Alberta,14/04/2020,127,1817
Alberta,15/04/2020,133,1950
Alberta,16/04/2020,146,2096
Alberta,17/04/2020,213,2309
Alberta,18/04/2020,187,2496
Alberta,19/04/2020,201,2697
Alberta,20/04/2020,183,2880
Alberta,21/04/2020,264,3144
Alberta,22/04/2020,294,3438
Alberta,23/04/2020,340,3778
Alberta,24/04/2020,232,4010
Alberta,25/04/2020,222,4232
Alberta,26/04/2020,203,4435
Alberta,27/04/2020,178,4613
Alberta,28/04/2020,249,4862
Alberta,29/04/2020,231,5093
Alberta,30/04/2020,222,5315
Alberta,01/05/2020,141,5456
Alberta,02/05/2020,112,5568
Alberta,03/05/2020,70,5638
Alberta,04/05/2020,79,5717
Alberta,05/05/2020,62,5779
Alberta,06/05/2020,65,5844
Alberta,07/05/2020,87,5931
Alberta,08/05/2020,77,6008
Alberta,09/05/2020,85,6093
Alberta,10/05/2020,71,6164
Alberta,11/05/2020,47,6211
Alberta,12/05/2020,70,6281
Alberta,13/05/2020,62,6343
Alberta,14/05/2020,61,6404
Alberta,15/05/2020,73,6477
Alberta,16/05/2020,54,6531
Alberta,17/05/2020,46,6577
Alberta,18/05/2020,38,6615
Alberta,19/05/2020,43,6658
Alberta,20/05/2020,27,6685
Alberta,21/05/2020,30,6715
Alberta,22/05/2020,27,6742
Alberta,23/05/2020,32,6774
Alberta,24/05/2020,29,6803
Alberta,25/05/2020,13,6816
Alberta,26/05/2020,19,6835
Alberta,27/05/2020,27,6862
Alberta,28/05/2020,28,6890
Alberta,29/05/2020,30,6920
Alberta,30/05/2020,20,6940
Alberta,31/05/2020,34,6974
Alberta,01/06/2020,21,6995
Alberta,02/06/2020,19,7014
Alberta,03/06/2020,18,7032
Alberta,04/06/2020,19,7051
Alberta,05/06/2020,37,7088
Alberta,06/06/2020,23,7111
Alberta,07/06/2020,33,7144
Alberta,08/06/2020,24,7168
Alberta,09/06/2020,38,7206
Alberta,10/06/2020,48,7254
Alberta,11/06/2020,43,7297
Alberta,12/06/2020,27,7324
Alberta,13/06/2020,35,7359
Alberta,14/06/2020,53,7412
Alberta,15/06/2020,36,7448
Alberta,16/06/2020,45,7493
Alberta,17/06/2020,46,7539
Alberta,18/06/2020,46,7585
Alberta,19/06/2020,47,7632
Alberta,20/06/2020,30,7662
Alberta,21/06/2020,33,7695
Alberta,22/06/2020,41,7736
Alberta,23/06/2020,45,7781
Alberta,24/06/2020,25,7806
Alberta,25/06/2020,36,7842
Alberta,26/06/2020,66,7908
Alberta,27/06/2020,37,7945
Alberta,28/06/2020,68,8013
Alberta,29/06/2020,44,8057
Alberta,30/06/2020,33,8090
Alberta,01/07/2020,64,8154
Alberta,02/07/2020,55,8209
Alberta,03/07/2020,30,8239
Alberta,04/07/2020,48,8287
Alberta,05/07/2020,48,8335
Alberta,06/07/2020,49,8384
Alberta,07/07/2020,44,8428
Alberta,08/07/2020,43,8471
Alberta,09/07/2020,74,8545
Alberta,10/07/2020,62,8607
Alberta,11/07/2020,90,8697
Alberta,12/07/2020,78,8775
Alberta,13/07/2020,87,8862
Alberta,14/07/2020,85,8947
Alberta,15/07/2020,115,9062
Alberta,16/07/2020,103,9165
Alberta,17/07/2020,168,9333
Alberta,18/07/2020,102,9435
Alberta,19/07/2020,88,9523
Alberta,20/07/2020,131,9654
Alberta,21/07/2020,136,9790
Alberta,22/07/2020,113,9903
Alberta,23/07/2020,116,10019
Alberta,24/07/2020,117,10136
Alberta,25/07/2020,98,10234
Alberta,26/07/2020,89,10323
Alberta,27/07/2020,81,10404
Alberta,28/07/2020,131,10535
Alberta,29/07/2020,118,10653
Alberta,30/07/2020,124,10777
Alberta,31/07/2020,99,10876
Alberta,01/08/2020,67,10943
Alberta,02/08/2020,73,11016
Alberta,03/08/2020,64,11080
Alberta,04/08/2020,94,11174
Alberta,05/08/2020,61,11235
Alberta,06/08/2020,128,11363
Alberta,07/08/2020,111,11474
Alberta,08/08/2020,97,11571
Alberta,09/08/2020,45,11616
Alberta,10/08/2020,86,11702
Alberta,11/08/2020,116,11818
Alberta,12/08/2020,72,11890
Alberta,13/08/2020,81,11971
Alberta,14/08/2020,104,12075
Alberta,15/08/2020,83,12158
